id_code,year,st,cnty,num_anglers,mode_fx,area_x,hrsf,ffdays2,cntrbtrs,sub_reg,wave,prim1,prim2,region,tot_cat_targ
1563120170101001,2017,12,87,1,7,3,5,1,1,7,1,NA,NA,FL_Keys,0
1563120170101003,2017,12,87,1,7,3,2.5,2,1,7,1,8835360000,8835400000,FL_Keys,0
1563120170107001,2017,12,87,2,5,4,6,0,2,7,1,NA,NA,FL_Keys,19.636246218692545
1563120170107003,2017,12,87,2,5,4,6,1,4,7,1,NA,NA,FL_Keys,5.408036930295754
1563120170107005,2017,12,87,1,5,4,6,0,6,7,1,NA,NA,FL_Keys,3
1563120170107006,2017,12,87,3,5,4,6,0,3,7,1,8835360401,NA,FL_Keys,26.55083873621307
1563120170116001,2017,12,87,2,5,3,3,0,11,7,1,NA,NA,FL_Keys,1.2089829265648022
1563120170116003,2017,12,87,4,5,3,2.5,0,4,7,1,NA,NA,FL_Keys,0
1563120170116007,2017,12,87,2,5,3,3,0,8,7,1,NA,NA,FL_Keys,0.26074427116858334
1563120170121003,2017,12,87,2,7,3,3,0,1,7,1,8835360000,NA,FL_Keys,0
1563120170121002,2017,12,87,2,7,3,3,0,1,7,1,8835360000,NA,FL_Keys,0
1563120170121004,2017,12,87,1,7,3,8,6,1,7,1,8835360102,NA,FL_Keys,0
1563120170121005,2017,12,87,1,7,4,1.5,1,1,7,1,8835360000,NA,FL_Keys,3
1563120170121006,2017,12,87,4,7,3,8,1,6,7,1,8835260101,NA,FL_Keys,0
1563120170121010,2017,12,87,1,7,4,7,1,1,7,1,8835360401,NA,FL_Keys,30
1563120170121011,2017,12,87,1,7,3,4,20,1,7,1,NA,NA,FL_Keys,0
1563120170121012,2017,12,87,1,7,4,3,5,1,7,1,8835360401,NA,FL_Keys,11
1563120170129001,2017,12,87,2,5,4,2.5,2,2,7,1,NA,NA,FL_Keys,13.611100023117265
1563120170205001,2017,12,87,1,7,4,4,6,1,7,1,NA,NA,FL_Keys,0
1563120170205003,2017,12,87,2,7,4,6,8,1,7,1,NA,NA,FL_Keys,1
1563120170205002,2017,12,87,2,7,4,6,8,1,7,1,NA,NA,FL_Keys,0
1563120170205004,2017,12,87,1,7,3,5,5,1,7,1,NA,NA,FL_Keys,0
1563120170205005,2017,12,87,1,7,3,5,10,1,7,1,NA,NA,FL_Keys,3
1563120170205006,2017,12,87,1,7,4,5,25,1,7,1,8835360401,NA,FL_Keys,3.1332709537314662
1563120170205007,2017,12,87,2,7,3,4,7,1,7,1,NA,NA,FL_Keys,0
1563120170205009,2017,12,87,1,7,3,8,5,1,7,1,8835360000,NA,FL_Keys,0
1563120170205010,2017,12,87,1,7,3,5,3,1,7,1,NA,NA,FL_Keys,0
1563120170205011,2017,12,87,1,7,3,3,1,1,7,1,NA,NA,FL_Keys,0
1563120170211002,2017,12,87,2,5,4,3,0,1,7,1,8850060000,NA,FL_Keys,0
1563120170211001,2017,12,87,2,5,4,3,0,1,7,1,8850060000,NA,FL_Keys,0
1563120170211005,2017,12,87,1,5,3,4.5,0,1,7,1,NA,NA,FL_Keys,0
1563120170211006,2017,12,87,1,5,3,4.5,0,2,7,1,NA,NA,FL_Keys,0
1563120170211010,2017,12,87,2,5,3,8,0,2,7,1,8708020000,8835020401,FL_Keys,0
1563120170212001,2017,12,87,3,7,4,3,1,3,7,1,8835360401,NA,FL_Keys,12.862496301484827
1563120170212005,2017,12,87,3,5,3,3.5,1,3,7,1,NA,NA,FL_Keys,0
1563120170218002,2017,12,87,2,7,3,2,0,1,7,1,8835360000,NA,FL_Keys,0
1563120170218003,2017,12,87,1,7,3,3,40,1,7,1,NA,NA,FL_Keys,0
1563120170218004,2017,12,87,1,7,4,4,5,1,7,1,8835360401,NA,FL_Keys,0
1563120170218005,2017,12,87,1,7,4,5,9,3,7,1,8835360401,NA,FL_Keys,14.251322242087195
1563120170218010,2017,12,87,2,7,3,4,3,1,7,1,NA,NA,FL_Keys,50
1563120170218011,2017,12,87,1,7,3,3,0,1,7,1,8835360000,NA,FL_Keys,3
1563120170218012,2017,12,87,1,7,4,5,20,1,7,1,8850030601,8850030000,FL_Keys,0
1563120170219001,2017,12,87,6,5,4,2.5,3,6,7,1,NA,NA,FL_Keys,6.906934659707166
1563120170219007,2017,12,87,5,5,4,2.5,0,10,7,1,NA,NA,FL_Keys,0
1572020170102002,2017,12,87,3,7,3,1,3,1,7,1,8835360102,NA,FL_Keys,0
1572020170106001,2017,12,87,1,7,3,7,6,1,7,1,NA,NA,FL_Keys,1
1572020170106003,2017,12,87,2,7,3,4,20,1,7,1,NA,NA,FL_Keys,0
1572020170106007,2017,12,87,1,7,3,4,5,3,7,1,8835360401,NA,FL_Keys,8.13083328936872
1572020170106008,2017,12,87,2,7,3,4,6,3,7,1,NA,NA,FL_Keys,0
1572020170106010,2017,12,87,1,7,4,6,20,1,7,1,NA,NA,FL_Keys,60
1572020170113001,2017,12,87,6,5,4,2,2,6,7,1,NA,NA,FL_Keys,1.9258418225287344
1572020170113007,2017,12,87,4,5,3,5.5,0,4,7,1,NA,NA,FL_Keys,12.144737265942178
1572020170127001,2017,12,87,1,7,3,2,20,1,7,1,8835360000,NA,FL_Keys,0
1572020170127003,2017,12,87,2,5,3,4,12,1,7,1,NA,NA,FL_Keys,0
1572020170127005,2017,12,87,2,7,4,5,30,1,7,1,8835360401,NA,FL_Keys,19
1572020170203001,2017,12,87,2,7,4,3.5,3,2,7,1,NA,NA,FL_Keys,0
1572020170211001,2017,12,87,2,7,3,3.5,40,2,7,1,8835360112,NA,FL_Keys,0
1572020170211005,2017,12,87,2,7,3,4,6,2,7,1,NA,NA,FL_Keys,0
1572020170223001,2017,12,87,1,5,4,4,0,6,7,1,NA,NA,FL_Keys,2.058305846597094
1572020170223002,2017,12,87,1,5,4,3,0,5,7,1,NA,NA,FL_Keys,0.6861019488656981
1572020170223003,2017,12,87,5,5,4,4,0,5,7,1,NA,NA,FL_Keys,4.5405691861041415
1572020170223009,2017,12,87,2,5,4,4,0,1,7,1,NA,NA,FL_Keys,0
1572020170223010,2017,12,87,3,5,4,6,0,5,7,1,8835360000,NA,FL_Keys,12.502944334870179
1573520170209001,2017,12,87,2,5,4,6,9,3,7,1,NA,NA,FL_Keys,0
1573520170209003,2017,12,87,3,5,4,4,0,4,7,1,8835360401,NA,FL_Keys,5.914808690894643
1573520170209007,2017,12,87,4,5,4,5,1,1,7,1,8850060101,NA,FL_Keys,0
1573520170209010,2017,12,87,2,5,4,6,0,2,7,1,NA,NA,FL_Keys,0
1574920170103001,2017,12,87,1,7,3,4,5,1,7,1,8835360000,NA,FL_Keys,0
1574920170120005,2017,12,87,2,7,3,4,4,2,7,1,NA,NA,FL_Keys,0
1574920170120007,2017,12,87,1,7,4,2.5,40,1,7,1,8850030601,NA,FL_Keys,0
1574920170120012,2017,12,87,2,7,4,6,0,1,7,1,NA,NA,FL_Keys,0
1574920170120011,2017,12,87,2,7,4,6,0,1,7,1,NA,NA,FL_Keys,1
1574920170126004,2017,12,87,1,5,4,6,4,2,7,1,8850060101,NA,FL_Keys,4.179465637744937
1574920170126005,2017,12,87,2,5,4,8,0,2,7,1,8850060101,NA,FL_Keys,0
1574920170126007,2017,12,87,1,5,4,7,1,1,7,1,8850060101,NA,FL_Keys,6.7124908325412385
1574920170202001,2017,12,87,1,5,3,5,0,4,7,1,8835360000,NA,FL_Keys,0
1574920170202003,2017,12,87,1,5,4,6,0,4,7,1,8850030400,NA,FL_Keys,0
1574920170203005,2017,12,87,1,7,4,4,4,1,7,1,8835360401,8835430000,FL_Keys,1
1574920170209005,2017,12,87,3,7,3,3,0,1,7,1,NA,NA,FL_Keys,0
1574920170212001,2017,12,87,2,7,4,8,8,5,7,1,NA,NA,FL_Keys,0
1574920170212003,2017,12,87,1,7,3,3,25,4,7,1,NA,NA,FL_Keys,1
1574920170212006,2017,12,87,2,7,4,5,20,3,7,1,NA,NA,FL_Keys,0
1574920170212008,2017,12,87,2,7,4,3.5,20,2,7,1,8835360103,NA,FL_Keys,0
1574920170212010,2017,12,87,1,7,4,3,30,1,7,1,8835360103,NA,FL_Keys,0
1574920170216002,2017,12,87,2,5,3,6,0,1,7,1,NA,NA,FL_Keys,0
1574920170216001,2017,12,87,2,5,3,6,0,1,7,1,NA,NA,FL_Keys,1
1574920170219001,2017,12,87,1,7,3,2,0,1,7,1,NA,NA,FL_Keys,0
1574920170219002,2017,12,87,1,7,3,3,0,3,7,1,NA,NA,FL_Keys,1.6520467183327192
1574920170219003,2017,12,87,1,7,4,5,40,2,7,1,8835260101,NA,FL_Keys,20.004763079914625
1574920170219005,2017,12,87,2,7,4,5,0,1,7,1,8850030601,NA,FL_Keys,6
1574920170219006,2017,12,87,1,7,4,5,1,1,7,1,8850030601,NA,FL_Keys,0
1574920170219007,2017,12,87,1,7,4,4,10,1,7,1,8850030601,NA,FL_Keys,0
1574920170219009,2017,12,87,1,7,4,7,4,1,7,1,8835360401,NA,FL_Keys,8
1574920170220001,2017,12,87,2,5,4,2.5,0,2,7,1,NA,NA,FL_Keys,0
1574920170220003,2017,12,87,1,5,4,2.5,3,2,7,1,8850030502,NA,FL_Keys,3
1574920170220006,2017,12,87,2,5,3,4,0,2,7,1,8835360000,NA,FL_Keys,0
1574920170220008,2017,12,87,2,5,3,4,0,1,7,1,NA,NA,FL_Keys,0
1574920170220010,2017,12,87,4,5,4,7,0,4,7,1,NA,NA,FL_Keys,0
1574920170220014,2017,12,87,1,5,4,6,0,1,7,1,8850060101,NA,FL_Keys,0.7163736854272245
1574920170220016,2017,12,87,2,5,4,8,0,3,7,1,8850060101,NA,FL_Keys,1.3123197535296016
1507120170312007,2017,12,87,2,7,4,4,25,2,7,2,NA,NA,FL_Keys,0
